Nombre de la Sede;Ciudad/Municipio;ALIADO;País;Dirección de correspondencia corporativa (Oficina);Correo Electrónico;Departamento;;;;;;;;;;;;;;
CULTIVARTE PACHO;PACHO;ALCALDÍA DE PACHO;COLOMBIA;Cra  16 N°7 -57;pacho@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE SUBACHOQUE;SUBACHOQUE;ALCALDÍA DE SUBACHOQUE;COLOMBIA;Cra 3 - 1-35 centro;subachoque@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE LA MESA;LA MESA;ALCALDÍA DE LA MESA;COLOMBIA;Cra 26 A Calle 9 Esquina;lamesa@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE BOSA - CEREZO;BOGOTA;CONJUNTO RESIDENCIAL BOSA - CEREZO;COLOMBIA;Calle 83 sur N° 91-48 Parque de Bogotá Cerezo;bosa@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE CAJICA;CAJICA;ALCALDÍA DE CAJICÁ;COLOMBIA;Cra 4 N° 1-100 candelaria 1 Barrio Capellania;bosa@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE SAN JUAN DE RIOSECO;SAN JUAN DE RIOSECO;ALCALDÍA DE SAN JUAN DE RIOSECO;COLOMBIA;Calle 6 N° 6 - 24 Segundo Piso Plaza de Mercado;sanjuanrioseco@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE FACATATIVA;FACATATIVA;ALCALDÍA DE FACATATIVÁ;COLOMBIA;Calle 9 este N° 3-33 sur manablanca segundo sector;facatativa@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE ZIPAQUIRA;ZIPAQUIRA;ALCALDÍA DE ZIPAQUIRÁ;COLOMBIA;Calle 4 No. 17-03;zipaquira@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE FUNZA;FUNZA;ALCALDÍA DE FUNZA;COLOMBIA;Cra  6 N° 18-28;funza@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE MOSQUERA;MOSQUERA;FUNDACIÓN CARDIO INFANTIL - ALCALDÍA DE MOSQUERA;COLOMBIA;Cra  3 N° 12b-15 Barrio planadas;mosquera@fcultivarte.org;CUNDINAMARCA;;;;;;;;;;;;;;
CULTIVARTE AMAGA;AMAGA;ALCALDÍA DE AMAGÁ;COLOMBIA;Calle 51 N° 50-18, tercer piso;amaga@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE ANDES;ANDES;ALCALDÍA DE ANDES;COLOMBIA;Cra 50 N°52-52;andes@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE CIUDAD BOLIVAR;CIUDAD BOLIVAR;ALCALDÍA DE CIUDAD BOLÍVAR;COLOMBIA;Calle 50 N° 52 - 07;ciudadbolivar@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE JARDIN;JARDIN;ALCALDÍA DE JARDÍN;COLOMBIA;Cra 6 N° 9-26;jardin@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE EL SANTUARIO;EL SANTUARIO;ALCALDÍA DE EL SANTUARIO;COLOMBIA;Cra  49 Nro 48 - 19;elsantuario@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE SONSON;SONSON;ALCALDÍA DE SONSÓN;COLOMBIA;Cra8 N° 6-11;sonson@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE TAMESIS;TAMESIS;ALCALDÍA DE TÁMESIS;COLOMBIA;Cra 10 N° 12 - 68;tamesis@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE BETULIA;BETULIA;ALCALDÍA DE BETULIA;COLOMBIA;Cra 22 N°23-09 apto 100;betulia@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE CAUCASIA;CAUCASIA;ALCALDÍA DE CAUCASIA;COLOMBIA;Calle 21 N° 9ª-11;caucasia@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE SANTA BARBARA;SANTA BARBARA;ALCALDÍA DE SANTA BÁRBARA;COLOMBIA;Cra 51 (Bolívar) N° 51-16 Casa de la Cultura piso 2;santabarbara@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE YARUMAL;YARUMAL;ALCALDÍA DE YARUMAL;COLOMBIA;Calle 12 con Cra 27-28 Biblioteca Jose Maria cordoba;yarumal@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE CALDAS;CALDAS;ALCALDÍA DE CALDAS;COLOMBIA;Calle 142 A Sur No. 50-15 Parque Hábitat Del Sur;caldas@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE LA CEJA;LA CEJA;ALCALDÍA DE LA CEJA;COLOMBIA;Cra 16 N° 7D-08. Interior Parque Biblioteca El Paraíso;laceja@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE COPACABANA;COPACABANA;ALCALDÍA DE COPACABANA;COLOMBIA;Cra  47N°47a -05 Ciudadela Educativa La Vida;copacabana@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE RIONEGRO ANT;RIONEGRO;ALCALDÍA DE SABANETA;COLOMBIA;Calle 43, Cra 81-22;rionegro@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE SABANETA;SABANETA;ALCALDÍA DE APARTADÓ;COLOMBIA;Cra 38 N° 68 A Sur - 25;sabaneta@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
CULTIVARTE APARTADO;APARTADO;ALCALDÍA DE RIONEGRO ANT;COLOMBIA;Calle 93 N° 96a 12;apartado@fcultivarte.org;ANTIOQUIA;;;;;;;;;;;;;;
